Case	Project	pos. predictive value rate	true positive rate
CASP	metaPhOrs incomplete	0.5 +- 0.692965	0.5 +- 0.692965
CASP	orthoinspector 1.30 (blast threshold 10-9)	0.5 +- 0.692965	0.5 +- 0.692965
CASP	phylomeDB	0.5 +- 0.692965	0.5 +- 0.692965
CASP	Ensembl Compara (e81)	0.5 +- 0.692965	0.5 +- 0.692965
CASP	Hieranoid 2	0.5 +- 0.692965	0.5 +- 0.692965
CASP	InParanoid	0.5 +- 0.692965	0.5 +- 0.692965
CASP	InParanoidCore	0.5 +- 0.692965	0.5 +- 0.692965
CASP	OMA GETHOGs	0.5 +- 0.692965	0.5 +- 0.692965
CASP	OMA Groups (RefSet5)	0.5 +- 0.692965	0.5 +- 0.692965
CASP	PANTHER 8.0 (LDO only)	0.5 +- 0.692965	0.5 +- 0.692965
CASP	OMA Pairs (Refset5)	0.5 +- 0.692965	0.5 +- 0.692965
CITE	EggNOG	0.931 +- 0.130428	0.4154 +- 0.169424
CITE	PANTHER 8.0 (all)	0.9592 +- 0.0783502	0.7231 +- 0.153846
CITE	RBH / BBH	0.9412 +- 0.111852	0.4923 +- 0.171883
CITE	RSD 0.8 1e-5 Deluca	0.9333 +- 0.126236	0.4308 +- 0.170248
CITE	metaPhOrs incomplete	0.9565 +- 0.0833443	0.6769 +- 0.160782
CITE	orthoinspector 1.30 (blast threshold 10-9)	0.92 +- 0.150397	0.3538 +- 0.164395
CITE	phylomeDB	0.92 +- 0.150397	0.3538 +- 0.164395
CITE	Ensembl Compara (e81)	0.6053 +- 0.219789	0.3538 +- 0.164395
CITE	Hieranoid 2	0.9394 +- 0.115132	0.4769 +- 0.17172
CITE	InParanoid	0.9412 +- 0.111852	0.4923 +- 0.171883
CITE	InParanoidCore	0.9167 +- 0.15638	0.3385 +- 0.162685
CITE	OMA GETHOGs	0.9412 +- 0.111852	0.4923 +- 0.171883
CITE	OMA Groups (RefSet5)	0.9167 +- 0.15638	0.3385 +- 0.162685
CITE	PANTHER 8.0 (LDO only)	0.9429 +- 0.108753	0.5077 +- 0.171883
CITE	OMA Pairs (Refset5)	0.9231 +- 0.144854	0.3692 +- 0.16592
Clusterin	EggNOG	0.8462 +- 0.277375	0.8462 +- 0.277375
Clusterin	PANTHER 8.0 (all)	0.8462 +- 0.277375	0.8462 +- 0.277375
